"user (S)","id (S)","name (S)","played_at (S)","songId (S)"
"1231014939","1c6f207e-351d-4b3b-9950-d92454319b02","since i was young (with kesha) - win and woo remix - Wrabel, Win and Woo","2021-01-25T03:06:32.850Z","4ENO4HlhEJMQ0EWocbd4Md"
"1231014939","1d3c713f-8a57-472f-95b3-4d199944604c","Remember - J Lisk","2021-01-18T07:27:03.632Z","2nEdgiHdguBvGmES5Pv4Ca"
"1231014939","1d3df0f3-6694-427a-817f-10b8707f1a37","String Quartet no. 2 ""Company"": II. - Philip Glass, Dublin Guitar Quartet","2021-02-09T01:03:29.320Z","74ABFfTOF0Bsq4RRKVfDxs"
"1231014939","1d6ab125-43fb-48c7-95a7-73aeb8843046","Onix - Milo Beats","2021-02-14T07:30:40.282Z","0yd055FHuiTWB5DfrrG9N0"
"1231014939","1d6d4e81-925f-4099-a02a-be66ef8ecf06","Growing up Beside You - Paolo Nutini","2021-03-05T23:09:41.613Z","2sEjyZc9VyugTrJupmbA1L"
"1231014939","1d87f010-cc0c-436c-9a6f-e6cc20485ab7","Baby Can I Hold You - Tracy Chapman","2021-01-29T21:31:14.411Z","2DjWsDGgL1xNbhnr7f6t5F"
"1231014939","1e02443e-b966-4699-ba9c-fcc421ac001a","Demons - Jerro, Massane","2021-01-31T22:34:54.633Z","46JryQqiMZiZ8A0pyCazEW"
"1231014939","1e14ac82-cb2d-4108-80b6-e07f30d94a44","Cold - Chris Stapleton","2021-03-05T22:09:24.742Z","24nhOvYX2gk3txBbMzXeUB"
"1231014939","1e17a59b-1b96-4cc2-9be2-e35a8c2f4581","Lead Me Home - The Walking Dead Soundtrack - Various Artists","2021-02-13T10:07:30.557Z","2DBFAJgsqhYk5Z1AF7tAMH"
"1231014939","1e50568d-d6dc-45c9-b91d-dfbc26d0fda5","Good Together - Punctual Remix - HONNE","2021-01-29T06:25:15.414Z","7GsEhMcupLqa2RzTFGXjIf"
"1231014939","1ea4b367-fb74-4297-91d3-2adcf36c5ce1","Be Free - MVRE, Alex Sombo","2021-01-18T22:11:28.121Z","0Tu6l5JSFRGC1tVEVttBsB"
"1231014939","1ec02d11-b269-4785-bef8-91f481d58081","Midas - Maribou State","2021-02-10T04:15:59.161Z","6VNooTY5w9A9wg1YUsEbKB"
